count,time,ch1,ch2,ch3,ch4,s10_matched_angle,s8_matched_angle,main_distance,slove_distance
"[104.19557405601316, 30.65885047740553, 162, '18:01:06']",68201696,146206489,417686086,132322239,123.2,89.41200256347656
"[104.19555221213795, 30.658875250001056, 163, '18:01:07']",66853561,158470619,438533858,132990863,125.96,89.41200256347656
"[104.19555221213795, 30.658875250001056, 164, '18:01:08']",66853561,158470619,438533858,132990863,125.96,89.41200256347656
"[104.19555467129283, 30.658872461134685, 165, '18:01:10']",67012138,154212778,423780712,128187077,125.63,89.41200256347656
"[104.19555565033582, 30.658865592899748, 166, '18:01:11']",67012138,154212778,423780712,128187077,125.63,90.10399627685547
"[104.19555565033582, 30.658865592899748, 167, '18:01:12']",72132503,155018769,429250748,128601515,125.63,90.10399627685547
"[104.19555565033582, 30.658865592899748, 168, '18:01:13']",72132503,155018769,429250748,128601515,125.63,90.10399627685547
"[104.19557548736421, 30.658842546159203, 169, '18:01:14']",66410081,144562814,393267237,126368026,123.2,90.10399627685547
"[104.19557548736421, 30.658842546159203, 170, '18:01:16']",66410081,144562814,393267237,126368026,123.2,90.10399627685547
"[104.19559981067815, 30.658813202702042, 171, '18:01:17']",62176404,93584825,255238141,84562361,120.63,90.20999908447266
"[104.19559981067815, 30.658813202702042, 172, '18:01:18']",62176404,93584825,255238141,84562361,120.63,90.20999908447266
"[104.19559020408755, 30.65882440505314, 173, '18:01:19']",66714865,118770932,353893949,105674006,121.61,90.20999908447266
"[104.19559020408755, 30.65882440505314, 174, '18:01:20']",66714865,118770932,353893949,105674006,121.61,90.20999908447266
"[104.19566063739869, 30.658742271993304, 175, '18:01:22']",88706786,116037067,337555340,109467183,115.53,90.20999908447266
"[104.19565504024364, 30.65876059927732, 176, '18:01:23']",88706786,116037067,337555340,109467183,115.53,89.25
"[104.19559002227072, 30.65883391863657, 177, '18:01:24']",67014701,122550701,350861795,109939907,121.36,89.25
"[104.19559002227072, 30.65883391863657, 178, '18:01:25']",67014701,122550701,350861795,109939907,121.36,89.25
"[104.19557006096014, 30.658856428573998, 179, '18:01:26']",66291650,125203025,322340423,115337656,123.64,89.25
"[104.19557006096014, 30.658856428573998, 180, '18:01:28']",66291650,125203025,322340423,115337656,123.64,89.25
"[104.19577895132441, 30.65861151501321, 181, '18:01:29']",51818698,64387929,251106361,118993140,108.92,89.7959976196289
"[104.19577895132441, 30.65861151501321, 182, '18:01:30']",51818698,64387929,251106361,118993140,108.92,89.7959976196289
"[104.19565085751606, 30.658758743492708, 183, '18:01:31']",83788345,114311901,374081230,74131755,116.07,89.7959976196289
"[104.19565085751606, 30.658758743492708, 184, '18:01:32']",83788345,114311901,374081230,74131755,116.07,89.7959976196289
"[104.19570877730925, 30.658692171632634, 185, '18:01:34']",141407437,102760504,462308023,65077173,112.3,89.7959976196289
"[104.19569163037295, 30.65873962265782, 186, '18:01:35']",141407437,102760504,462308023,65077173,112.3,87.71199798583984
"[104.19577594898338, 30.65864951590573, 187, '18:01:36']",126395818,96498763,542402676,132465257,107.82,87.71199798583984
"[104.19577594898338, 30.65864951590573, 188, '18:01:37']",126395818,96498763,542402676,132465257,107.82,87.71199798583984
"[104.19973659038388, 30.65441699201819, 189, '18:01:38']",154598153,338476519,399217915,122599580,89.73,87.71199798583984
"[104.19973659038388, 30.65441699201819, 190, '18:01:40']",154598153,338476519,399217915,122599580,89.73,87.71199798583984
"[104.1958524777512, 30.658871040738767, 191, '18:01:41']",156219934,337129618,395538216,130254371,89.73,66.98799896240234
"[104.1958524777512, 30.658871040738767, 192, '18:01:42']",156219934,337129618,395538216,130254371,89.73,66.98799896240234
"[104.1958524777512, 30.658871040738767, 193, '18:01:43']",156512564,345808601,404582679,120457726,89.73,66.98799896240234
"[104.1958524777512, 30.658871040738767, 194, '18:01:44']",156512564,345808601,404582679,120457726,89.73,66.98799896240234
"[104.19584140591968, 30.658876215894267, 195, '18:01:46']",152629919,351477736,409048395,116496272,90.27,66.98799896240234
"[104.19645200361478, 30.658162698297872, 196, '18:01:47']",152629919,351477736,409048395,116496272,90.27,81.45600128173828
"[104.19645200361478, 30.658162698297872, 197, '18:01:48']",152533475,348375845,407007298,115357148,90.27,81.45600128173828
"[104.19645200361478, 30.658162698297872, 198, '18:01:49']",152533475,348375845,407007298,115357148,90.27,81.45600128173828
"[104.19645200361478, 30.658162698297872, 199, '18:01:50']",154697196,355150600,422411623,117710319,90.27,81.45600128173828
"[104.19645200361478, 30.658162698297872, 200, '18:01:52']",154697196,355150600,422411623,117710319,90.27,81.45600128173828
"[104.19639073897264, 30.658234289462634, 201, '18:01:53']",165337946,373941473,449478409,137334147,90.27,80.86199951171875
"[104.19639073897264, 30.658234289462634, 202, '18:01:54']",165337946,373941473,449478409,137334147,90.27,80.86199951171875
"[104.19639073897264, 30.658234289462634, 203, '18:01:55']",148111693,351235637,416615110,116739343,90.27,80.86199951171875
"[104.19639073897264, 30.658234289462634, 204, '18:01:56']",148111693,351235637,416615110,116739343,90.27,80.86199951171875
"[104.19639073897264, 30.658234289462634, 205, '18:01:58']",159901166,363166862,447042883,128556437,90.27,80.86199951171875
"[104.19639035262065, 30.65823474093658, 206, '18:01:59']",159901166,363166862,447042883,128556437,90.27,80.85800170898438
"[104.1964314515887, 30.65820035482846, 207, '18:02:00']",158349742,351219971,427854023,144695834,89.91,80.85800170898438
"[104.1964314515887, 30.65820035482846, 208, '18:02:01']",158349742,351219971,427854023,144695834,89.91,80.85800170898438
"[104.19626304190214, 30.658341257482885, 209, '18:02:02']",110847377,221804673,418014350,144204915,91.59,80.85800170898438
"[104.19626304190214, 30.658341257482885, 210, '18:02:04']",110847377,221804673,418014350,144204915,91.59,80.85800170898438
